Date,Low,Open,Volume,High,Close,Adjusted_Close
15-05-1997,1.927083015,2.4375,72156000,2.5,1.958333015,1.958333015
16-05-1997,1.708333015,1.96875,14700000,1.979166985,1.729166985,1.729166985
19-05-1997,1.625,1.760416985,6106800,1.770833015,1.708333015,1.708333015
20-05-1997,1.635416985,1.729166985,5467200,1.75,1.635416985,1.635416985
21-05-1997,1.375,1.635416985,18853200,1.645833015,1.427083015,1.427083015
22-05-1997,1.3125,1.4375,11776800,1.447916985,1.395833015,1.395833015
23-05-1997,1.333333015,1.40625,15937200,1.520833015,1.5,1.5
27-05-1997,1.458333015,1.510416985,8697600,1.645833015,1.583333015,1.583333015
28-05-1997,1.53125,1.625,4574400,1.635416985,1.53125,1.53125
29-05-1997,1.479166985,1.541666985,3472800,1.541666985,1.505208015,1.505208015
30-05-1997,1.479166985,1.5,2594400,1.510416985,1.5,1.5
2/6/1997,1.5,1.510416985,591600,1.53125,1.510416985,1.510416985
3/6/1997,1.479166985,1.53125,1183200,1.53125,1.479166985,1.479166985
4/6/1997,1.395833015,1.479166985,3080400,1.489583015,1.416666985,1.416666985
5/6/1997,1.375,1.416666985,5672400,1.541666985,1.541666985,1.541666985
6/6/1997,1.510416985,1.515625,7807200,1.708333015,1.65625,1.65625
9/6/1997,1.65625,1.65625,2352000,1.708333015,1.6875,1.6875
10/6/1997,1.53125,1.708333015,5458800,1.708333015,1.583333015,1.583333015
11/6/1997,1.53125,1.59375,1188000,1.604166985,1.541666985,1.541666985
12/6/1997,1.552083015,1.583333015,1632000,1.645833015,1.604166985,1.604166985
13-06-1997,1.583333015,1.625,693600,1.625,1.583333015,1.583333015
16-06-1997,1.5625,1.604166985,913200,1.604166985,1.572916985,1.572916985
17-06-1997,1.494791985,1.598958015,4706400,1.598958015,1.505208015,1.505208015
18-06-1997,1.5,1.520833015,2464800,1.536458015,1.510416985,1.510416985
19-06-1997,1.5,1.510416985,1003200,1.53125,1.510416985,1.510416985
20-06-1997,1.5,1.53125,3387600,1.552083015,1.526041985,1.526041985
23-06-1997,1.479166985,1.541666985,1047600,1.541666985,1.5,1.5
24-06-1997,1.479166985,1.505208015,751200,1.526041985,1.510416985,1.510416985
25-06-1997,1.489583015,1.526041985,2106000,1.526041985,1.510416985,1.510416985
26-06-1997,1.505208015,1.520833015,3189600,1.520833015,1.510416985,1.510416985
27-06-1997,1.479166985,1.515625,1188000,1.515625,1.489583015,1.489583015
30-06-1997,1.479166985,1.510416985,2746800,1.598958015,1.541666985,1.541666985
1/7/1997,1.510416985,1.541666985,1292400,1.541666985,1.515625,1.515625
2/7/1997,1.510416985,1.515625,3882000,1.59375,1.588541985,1.588541985
3/7/1997,1.59375,1.598958015,12577200,1.916666985,1.911458015,1.911458015
7/7/1997,1.833333015,1.833333015,8053200,2.020833015,2,2
8/7/1997,2.041666985,2.041666985,15517200,2.333333015,2.302083015,2.302083015
9/7/1997,2.270833015,2.302083015,8262000,2.385416985,2.322916985,2.322916985
10/7/1997,2.333333015,2.333333015,9051600,2.572916985,2.5625,2.5625
11/7/1997,2.208333015,2.520833015,10531200,2.520833015,2.291666985,2.291666985
14-07-1997,2.114583015,2.322916985,4604400,2.333333015,2.135416985,2.135416985
15-07-1997,2.135416985,2.135416985,9274800,2.479166985,2.4375,2.4375
16-07-1997,2.302083015,2.447916985,3024000,2.494791985,2.333333015,2.333333015
17-07-1997,2.15625,2.34375,3169200,2.34375,2.21875,2.21875
18-07-1997,2.15625,2.1875,780000,2.21875,2.15625,2.15625
21-07-1997,2.145833015,2.177083015,574800,2.197916985,2.182291985,2.182291985
22-07-1997,2.0625,2.166666985,1563600,2.1875,2.135416985,2.135416985
23-07-1997,2.177083015,2.1875,3259200,2.333333015,2.291666985,2.291666985
24-07-1997,2.21875,2.302083015,1216800,2.3125,2.260416985,2.260416985
25-07-1997,2.21875,2.21875,620400,2.25,2.229166985,2.229166985
28-07-1997,2.21875,2.229166985,2574000,2.395833015,2.322916985,2.322916985
29-07-1997,2.333333015,2.364583015,4814400,2.5,2.479166985,2.479166985
30-07-1997,2.427083015,2.5,2517600,2.505208015,2.447916985,2.447916985
31-07-1997,2.333333015,2.4375,1454400,2.4375,2.395833015,2.395833015
1/8/1997,2.25,2.34375,3588000,2.416666985,2.416666985,2.416666985
4/8/1997,2.302083015,2.375,2671200,2.411458015,2.3125,2.3125
